bib number,age,gender,split time (s),final time (s)
33677,33,M,3938,7731
34433,32,M,3986,7768
30615,31,M,4009,7842
42492,38,M,3976,8025
33481,31,M,3992,8039
12483,31,M,3973,8051
24270,27,M,4000,8068
26092,31,M,3991,8116
25370,30,M,3939,8157
15349,30,M,3940,8199
44501,26,M,4090,8298
37480,29,M,3954,8332
14158,28,M,4139,8376
36977,24,M,4156,8385
10507,37,M,3921,8387
38755,25,M,4192,8417
10321,22,M,4193,8457
36374,30,M,3940,8477
29598,26,M,4211,8484
16062,36,M,4235,8515
31716,28,M,4319,8534
23075,31,M,3954,8540
34666,41,M,4154,8547
24447,24,M,4278,8575
48552,26,M,4217,8576
15631,36,M,3999,8611
37827,28,M,4232,8619
16526,29,M,4345,8628
21717,34,W,4355,8653
21327,31,M,4447,8719
23669,39,W,4393,8737
27983,29,M,4199,8738
11517,29,W,4389,8750
49733,31,M,4404,8756
49863,30,M,4311,8775
35762,30,M,4114,8796
10207,34,M,3980,8842
23106,27,M,4343,8844
37507,23,M,4422,8852
23660,37,M,4330,8888
42043,36,W,4377,8893
49105,27,W,4387,8907
39735,39,M,4377,8916
18736,38,M,4388,8931
36302,47,M,4538,8935
27533,36,W,4380,8936
14292,34,W,4367,8947
24038,24,W,4419,8950
33772,38,M,4410,8952
40422,35,M,4372,8955
31519,35,M,4431,8975
31379,39,M,4361,8975
35841,36,W,4424,8978
31263,33,M,4420,8992
45958,22,M,4184,8994
18560,22,M,4175,9010
44573,35,W,4444,9010
33690,32,M,4417,9012
36841,33,M,4380,9020
36544,34,W,4408,9020
35836,36,M,4468,9041
20498,31,W,4479,9045
25255,23,W,4422,9046
35627,32,W,4431,9052
25622,38,W,4462,9055
33643,31,M,4393,9061
40255,28,M,4398,9066
48479,37,W,4409,9066
16072,30,M,4496,9070
11868,27,M,4432,9073
40818,34,M,4447,9078
44007,44,M,4596,9078
37218,31,M,4480,9094
27147,30,M,4480,9101
10570,26,M,4363,9104
37259,29,M,4029,9109
22502,34,M,4499,9125
23083,34,M,4426,9129
41679,33,M,4411,9130
32260,29,M,4047,9132
27743,24,M,4396,9135
33975,28,M,4444,9135
12349,32,M,4467,9138
49503,33,M,4559,9147
44746,25,M,4516,9155
25235,31,M,4363,9156
40788,29,M,4414,9165
40875,33,M,4377,9174
48149,26,M,4480,9177
10370,31,M,4502,9195
44113,29,M,4481,9199
23448,27,M,4506,9204
29238,34,M,4452,9206
16135,44,M,4540,9210
40144,36,M,4537,9217
28056,44,M,4568,9225
14866,26,M,4575,9229
34194,42,M,4533,9233
40059,36,M,4517,9236
29447,42,M,4537,9239
24601,35,M,4530,9243
38862,26,M,4376,9245
36895,26,M,4519,9246
47666,35,W,4469,9251
22985,28,M,4393,9255
13483,41,M,4616,9258
34724,25,M,4468,9261
18315,33,M,4410,9271
22016,25,M,4431,9273
24703,41,M,4541,9277
17098,36,M,4498,9280
12736,31,M,4412,9281
30293,24,M,4526,9282
10313,34,M,4519,9297
32936,36,W,4538,9298
26194,23,M,4509,9301
23798,35,M,4510,9304
18350,34,M,4440,9305
34283,34,W,4524,9310
15736,38,M,4359,9310
41345,26,M,4525,9321
46485,41,M,4660,9327
29580,27,M,4596,9328
16343,36,W,4519,9328
15880,35,M,4512,9330
40150,34,M,4455,9333
15898,24,M,4514,9335
13382,28,M,4555,9346
42562,28,M,4525,9355
29433,24,M,4473,9357
40447,34,M,4563,9364
33042,38,M,4509,9365
36708,31,M,4648,9368
39916,24,M,4725,9369
13667,38,M,4424,9371
31348,34,M,4636,9376
21114,32,M,4648,9379
26154,29,M,4613,9393
34804,27,M,4639,9393
10437,28,M,4619,9395
24972,35,M,4545,9398
24983,30,M,4593,9402
18355,31,M,4495,9402
28580,29,M,4720,9402
31172,33,M,4606,9403
49260,23,M,4452,9404
34136,37,M,4583,9405
44169,26,M,4687,9409
40003,24,M,4727,9410
42263,38,M,4204,9410
31902,33,M,4527,9423
25277,41,M,4699,9425
41796,26,M,4666,9425
33298,26,M,4640,9440
48800,45,M,4617,9440
45285,30,M,4587,9443
17884,36,M,4618,9445
44377,33,M,4439,9452
16135,33,M,4386,9465
